objects_actual,fifo_miss_ratio,lru_miss_ratio,sieve_miss_ratio,sieve_vs_fifo_percent,sieve_vs_lru_percent
1131,0.3066,0.2776,0.2541,17.123287671232877,8.465417867435166
1132,0.3045,0.2756,0.2528,16.978653530377656,8.272859216255437
1138,0.3079,0.2789,0.2554,17.05099058135758,8.425959125134446
1140,0.3071,0.2782,0.2543,17.193096711168987,8.590941768511854
1143,0.3051,0.2761,0.2529,17.109144542772853,8.402752625860195
1144,0.3074,0.2784,0.2549,17.078724788549117,8.441091954022976
1148,0.3053,0.2765,0.2535,16.966917785784478,8.318264014466553
1153,0.3064,0.2776,0.2542,17.036553524804184,8.429394812680126
1154,0.3037,0.275,0.2518,17.089232795521898,8.436363636363636
1155,0.305,0.2763,0.2532,16.983606557377055,8.360477741585237
1157,0.3064,0.2775,0.254,17.10182767624021,8.468468468468474
1158,0.3054,0.2767,0.2533,17.0595939751146,8.45681243223707
1160,0.3068,0.2779,0.2542,17.14471968709258,8.52824757106873
1167,0.3059,0.2771,0.2534,17.162471395881003,8.55286900036088
1168,0.3051,0.2764,0.253,17.076368403802025,8.465991316931975
