/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.6_objects_1000_requests_100000(4).txt mySieve cache size      100B, 100000 req, miss ratio 0.6769, byte miss ratio 0.6769
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.6_objects_1000_requests_100000(4).txt mySieve cache size      200B, 100000 req, miss ratio 0.5498, byte miss ratio 0.5498
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.6_objects_1000_requests_100000(4).txt mySieve cache size      400B, 100000 req, miss ratio 0.3677, byte miss ratio 0.3677
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.6_objects_1000_requests_100000(4).txt mySieve cache size      800B, 100000 req, miss ratio 0.1116, byte miss ratio 0.1116
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.6_objects_1000_requests_100000(4).txt myLRU cache size      100B, 100000 req, miss ratio 0.7797, byte miss ratio 0.7797
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.6_objects_1000_requests_100000(4).txt myLRU cache size      200B, 100000 req, miss ratio 0.6383, byte miss ratio 0.6383
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.6_objects_1000_requests_100000(4).txt myLRU cache size      400B, 100000 req, miss ratio 0.4258, byte miss ratio 0.4258
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.6_objects_1000_requests_100000(4).txt myLRU cache size      800B, 100000 req, miss ratio 0.1218, byte miss ratio 0.1218
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.6_objects_1000_requests_100000(4).txt myFIFO cache size      100B, 100000 req, miss ratio 0.8003, byte miss ratio 0.8003
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.6_objects_1000_requests_100000(4).txt myFIFO cache size      200B, 100000 req, miss ratio 0.6694, byte miss ratio 0.6694
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.6_objects_1000_requests_100000(4).txt myFIFO cache size      400B, 100000 req, miss ratio 0.4630, byte miss ratio 0.4630
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.6_objects_1000_requests_100000(4).txt myFIFO cache size      800B, 100000 req, miss ratio 0.1435, byte miss ratio 0.1435
