/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myFIFO, rel cache size 0.000100, cache size 0B, 100000 req, miss ratio 1.0000, byte miss ratio 1.0000
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myFIFO, rel cache size 0.000200, cache size 0B, 100000 req, miss ratio 1.0000, byte miss ratio 1.0000
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myFIFO, rel cache size 0.000400, cache size 0B, 100000 req, miss ratio 1.0000, byte miss ratio 1.0000
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myFIFO, rel cache size 0.000600, cache size 1B, 100000 req, miss ratio 0.8608, byte miss ratio 0.8608
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myFIFO, rel cache size 0.000800, cache size 1B, 100000 req, miss ratio 0.8608, byte miss ratio 0.8608
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myFIFO, rel cache size 0.001000, cache size 2B, 100000 req, miss ratio 0.7695, byte miss ratio 0.7695
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myFIFO, rel cache size 0.002000, cache size 4B, 100000 req, miss ratio 0.6538, byte miss ratio 0.6538
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myFIFO, rel cache size 0.004000, cache size 8B, 100000 req, miss ratio 0.5288, byte miss ratio 0.5288
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myFIFO, rel cache size 0.006000, cache size 12B, 100000 req, miss ratio 0.4576, byte miss ratio 0.4576
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myFIFO, rel cache size 0.008000, cache size 17B, 100000 req, miss ratio 0.3997, byte miss ratio 0.3997
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myFIFO, rel cache size 0.010000, cache size 21B, 100000 req, miss ratio 0.3675, byte miss ratio 0.3675
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myFIFO, rel cache size 0.020000, cache size 42B, 100000 req, miss ratio 0.2725, byte miss ratio 0.2725
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myFIFO, rel cache size 0.040000, cache size 85B, 100000 req, miss ratio 0.1960, byte miss ratio 0.1960
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myFIFO, rel cache size 0.060000, cache size 128B, 100000 req, miss ratio 0.1597, byte miss ratio 0.1597
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myFIFO, rel cache size 0.080000, cache size 171B, 100000 req, miss ratio 0.1377, byte miss ratio 0.1377
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myFIFO, rel cache size 0.100000, cache size 214B, 100000 req, miss ratio 0.1212, byte miss ratio 0.1212
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myFIFO, rel cache size 0.200000, cache size 428B, 100000 req, miss ratio 0.0798, byte miss ratio 0.0798
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myFIFO, rel cache size 0.400000, cache size 857B, 100000 req, miss ratio 0.0480, byte miss ratio 0.0480
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myFIFO, rel cache size 0.600000, cache size 1285B, 100000 req, miss ratio 0.0341, byte miss ratio 0.0341
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myFIFO, rel cache size 0.800000, cache size 1714B, 100000 req, miss ratio 0.0267, byte miss ratio 0.0267
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myLRU, rel cache size 0.000100, cache size 0B, 100000 req, miss ratio 1.0000, byte miss ratio 1.0000
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myLRU, rel cache size 0.000200, cache size 0B, 100000 req, miss ratio 1.0000, byte miss ratio 1.0000
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myLRU, rel cache size 0.000400, cache size 0B, 100000 req, miss ratio 1.0000, byte miss ratio 1.0000
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myLRU, rel cache size 0.000600, cache size 1B, 100000 req, miss ratio 0.8608, byte miss ratio 0.8608
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000(8).txt, myLRU, rel cache size 0.000800, cache size 1B, 100000 req, miss ratio 0.8608, byte miss ratio 0.8608
