/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(11).txt mySieve cache size      226B, 100000 req, miss ratio 0.7354, byte miss ratio 0.7354
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(11).txt mySieve cache size      678B, 100000 req, miss ratio 0.6530, byte miss ratio 0.6530
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(11).txt mySieve cache size     2260B, 100000 req, miss ratio 0.5261, byte miss ratio 0.5261
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(11).txt mySieve cache size     4521B, 100000 req, miss ratio 0.4369, byte miss ratio 0.4369
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(11).txt mySieve cache size     9043B, 100000 req, miss ratio 0.3379, byte miss ratio 0.3379
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(11).txt mySieve cache size    18087B, 100000 req, miss ratio 0.2404, byte miss ratio 0.2404
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(11).txt myLRU cache size      226B, 100000 req, miss ratio 0.8377, byte miss ratio 0.8377
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(11).txt myLRU cache size      678B, 100000 req, miss ratio 0.7421, byte miss ratio 0.7421
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(11).txt myLRU cache size     2260B, 100000 req, miss ratio 0.5942, byte miss ratio 0.5942
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(11).txt myLRU cache size     4521B, 100000 req, miss ratio 0.4835, byte miss ratio 0.4835
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(11).txt myLRU cache size     9043B, 100000 req, miss ratio 0.3582, byte miss ratio 0.3582
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(11).txt myLRU cache size    18087B, 100000 req, miss ratio 0.2414, byte miss ratio 0.2414
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(11).txt myFIFO cache size      226B, 100000 req, miss ratio 0.8608, byte miss ratio 0.8608
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(11).txt myFIFO cache size      678B, 100000 req, miss ratio 0.7720, byte miss ratio 0.7720
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(11).txt myFIFO cache size     2260B, 100000 req, miss ratio 0.6323, byte miss ratio 0.6323
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(11).txt myFIFO cache size     4521B, 100000 req, miss ratio 0.5239, byte miss ratio 0.5239
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(11).txt myFIFO cache size     9043B, 100000 req, miss ratio 0.3944, byte miss ratio 0.3944
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(11).txt myFIFO cache size    18087B, 100000 req, miss ratio 0.2596, byte miss ratio 0.2596
