/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(2).txt mySieve cache size      226B, 100000 req, miss ratio 0.7380, byte miss ratio 0.7380
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(2).txt mySieve cache size      678B, 100000 req, miss ratio 0.6532, byte miss ratio 0.6532
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(2).txt mySieve cache size     2262B, 100000 req, miss ratio 0.5311, byte miss ratio 0.5311
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(2).txt mySieve cache size     4525B, 100000 req, miss ratio 0.4411, byte miss ratio 0.4411
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(2).txt mySieve cache size     9050B, 100000 req, miss ratio 0.3397, byte miss ratio 0.3397
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(2).txt mySieve cache size    18100B, 100000 req, miss ratio 0.2409, byte miss ratio 0.2409
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(2).txt myLRU cache size      226B, 100000 req, miss ratio 0.8405, byte miss ratio 0.8405
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(2).txt myLRU cache size      678B, 100000 req, miss ratio 0.7440, byte miss ratio 0.7440
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(2).txt myLRU cache size     2262B, 100000 req, miss ratio 0.5978, byte miss ratio 0.5978
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(2).txt myLRU cache size     4525B, 100000 req, miss ratio 0.4856, byte miss ratio 0.4856
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(2).txt myLRU cache size     9050B, 100000 req, miss ratio 0.3578, byte miss ratio 0.3578
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(2).txt myLRU cache size    18100B, 100000 req, miss ratio 0.2420, byte miss ratio 0.2420
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(2).txt myFIFO cache size      226B, 100000 req, miss ratio 0.8633, byte miss ratio 0.8633
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(2).txt myFIFO cache size      678B, 100000 req, miss ratio 0.7749, byte miss ratio 0.7749
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(2).txt myFIFO cache size     2262B, 100000 req, miss ratio 0.6351, byte miss ratio 0.6351
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(2).txt myFIFO cache size     4525B, 100000 req, miss ratio 0.5266, byte miss ratio 0.5266
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(2).txt myFIFO cache size     9050B, 100000 req, miss ratio 0.3950, byte miss ratio 0.3950
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_0.8_objects_30000_requests_100000(2).txt myFIFO cache size    18100B, 100000 req, miss ratio 0.2605, byte miss ratio 0.2605
