/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.0_objects_5000_requests_100000(1).txt, myFIFO, rel cache size 0.000100, cache size 0B, 100000 req, miss ratio 1.0000, byte miss ratio 1.0000
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.0_objects_5000_requests_100000(1).txt, myFIFO, rel cache size 0.000200, cache size 0B, 100000 req, miss ratio 1.0000, byte miss ratio 1.0000
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.0_objects_5000_requests_100000(1).txt, myFIFO, rel cache size 0.000400, cache size 1B, 100000 req, miss ratio 0.9790, byte miss ratio 0.9790
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.0_objects_5000_requests_100000(1).txt, myFIFO, rel cache size 0.000600, cache size 2B, 100000 req, miss ratio 0.9610, byte miss ratio 0.9610
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.0_objects_5000_requests_100000(1).txt, myFIFO, rel cache size 0.000800, cache size 3B, 100000 req, miss ratio 0.9454, byte miss ratio 0.9454
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.0_objects_5000_requests_100000(1).txt, myFIFO, rel cache size 0.001000, cache size 4B, 100000 req, miss ratio 0.9319, byte miss ratio 0.9319
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.0_objects_5000_requests_100000(1).txt, myFIFO, rel cache size 0.002000, cache size 9B, 100000 req, miss ratio 0.8786, byte miss ratio 0.8786
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.0_objects_5000_requests_100000(1).txt, myFIFO, rel cache size 0.004000, cache size 19B, 100000 req, miss ratio 0.8108, byte miss ratio 0.8108
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.0_objects_5000_requests_100000(1).txt, myFIFO, rel cache size 0.006000, cache size 29B, 100000 req, miss ratio 0.7665, byte miss ratio 0.7665
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.0_objects_5000_requests_100000(1).txt, myFIFO, rel cache size 0.008000, cache size 38B, 100000 req, miss ratio 0.7353, byte miss ratio 0.7353
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.0_objects_5000_requests_100000(1).txt, myFIFO, rel cache size 0.010000, cache size 48B, 100000 req, miss ratio 0.7076, byte miss ratio 0.7076
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.0_objects_5000_requests_100000(1).txt, myFIFO, rel cache size 0.020000, cache size 96B, 100000 req, miss ratio 0.6215, byte miss ratio 0.6215
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.0_objects_5000_requests_100000(1).txt, myFIFO, rel cache size 0.040000, cache size 193B, 100000 req, miss ratio 0.5299, byte miss ratio 0.5299
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.0_objects_5000_requests_100000(1).txt, myFIFO, rel cache size 0.060000, cache size 290B, 100000 req, miss ratio 0.4745, byte miss ratio 0.4745
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.0_objects_5000_requests_100000(1).txt, myFIFO, rel cache size 0.080000, cache size 387B, 100000 req, miss ratio 0.4342, byte miss ratio 0.4342
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.0_objects_5000_requests_100000(1).txt, myFIFO, rel cache size 0.100000, cache size 484B, 100000 req, miss ratio 0.4030, byte miss ratio 0.4030
