/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.6_objects_1000_requests_100000(5).txt mySieve cache size      167B, 100000 req, miss ratio 0.0277, byte miss ratio 0.0277
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.6_objects_1000_requests_100000(5).txt mySieve cache size      334B, 100000 req, miss ratio 0.0159, byte miss ratio 0.0159
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.6_objects_1000_requests_100000(5).txt mySieve cache size      668B, 100000 req, miss ratio 0.0092, byte miss ratio 0.0092
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.6_objects_1000_requests_100000(5).txt myLRU cache size      167B, 100000 req, miss ratio 0.0354, byte miss ratio 0.0354
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.6_objects_1000_requests_100000(5).txt myLRU cache size      334B, 100000 req, miss ratio 0.0183, byte miss ratio 0.0183
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.6_objects_1000_requests_100000(5).txt myLRU cache size      668B, 100000 req, miss ratio 0.0093, byte miss ratio 0.0093
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.6_objects_1000_requests_100000(5).txt myFIFO cache size      167B, 100000 req, miss ratio 0.0488, byte miss ratio 0.0488
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.6_objects_1000_requests_100000(5).txt myFIFO cache size      334B, 100000 req, miss ratio 0.0257, byte miss ratio 0.0257
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.6_objects_1000_requests_100000(5).txt myFIFO cache size      668B, 100000 req, miss ratio 0.0115, byte miss ratio 0.0115
